sequence_nm;id;Geo location;Collection date;Country;Host;class;aa83_1B;aa90_1B;nt86_1B;nt80_1B;Host_species;Host_genus;Host_fam;Host_fam_ru;Host_shorter
PX237222/NA/pigeon-FSU1/pigeon/2025;PX237222;China;04-Jul-2025;;Pigeon;Aves;32.0;27.0;6.0;46.0;Pigeon;Columba;Columbidae;Columbidae (голубиные);Columbidae (голубиные)
PV793827/NA/AstroviridaeCranefe81/Leucogeranus-leucogeranus/2024;PV793827;China;Jan-2024;;Leucogeranus leucogeranus;Aves;4.0;32.0;49.0;4.0;Leucogeranus leucogeranus;Leucogeranus;Gruidae;Gruidae (журавлиные);Gruidae (журавлиные)
PV793829/NA/AstroviridaeGoosefe94/Anser-sp-/2024;PV793829;China;Jan-2024;;Anser sp.;Aves;6.0;34.0;51.0;6.0;Anser sp.;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
PV793828/NA/AstroviridaeGoosefe87/Anser-sp-/2024;PV793828;China;Jan-2024;;Anser sp.;Aves;2.0;35.0;53.0;7.0;Anser sp.;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
PV793826/NA/AstroviridaeCranefe67/Leucogeranus-leucogeranus/2024;PV793826;China;Jan-2024;;Leucogeranus leucogeranus;Aves;9.0;38.0;55.0;9.0;Leucogeranus leucogeranus;Leucogeranus;Gruidae;Gruidae (журавлиные);Gruidae (журавлиные)
PV780437/NA/JX05/Anser-anser/2025;PV780437;China;28-Apr-2025;;Anser anser;Aves;38.0;53.0;47.0;2.0;Anser anser;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
PV780436/NA/JX04/Anser-anser/2023;PV780436;China;27-Jan-2023;;Anser anser;Aves;38.0;53.0;47.0;2.0;Anser anser;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
PV780435/NA/JX03/Anser-anser/2023;PV780435;China;27-Jan-2023;;Anser anser;Aves;38.0;53.0;47.0;2.0;Anser anser;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
PV780434/NA/JX02/Anser-anser/2023;PV780434;China;27-Jan-2023;;Anser anser;Aves;38.0;53.0;47.0;2.0;Anser anser;Anser;Anatidae;Anatidae (утиные);Anatidae (утиные)
PP871812/NA/astro-vt-94/Canis-lupus-familiaris/2014;PP871812;Viet Nam;21-Dec-2014/02-Apr-2016;;Canis lupus familiaris;Mammalia;1.0;30.0;50.0;5.0;Canis lupus familiaris;Canis;Canidae;Canidae (псовые);Mammalia (Млекопитающие)
PP871808/NA/astro-vt-90/Gallus-gallus/2015;PP871808;Viet Nam;16-Jun-2015/02-Apr-2016;;Gallus gallus;Aves;32.0;7.0;33.0;47.0;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые);Phasianidae (фазановые)
